org_id,org_name,legal_name,registry_no,reg_country,parent_org_id,ultimate_parent_hint,employees,entity_status,is_duplicate_of,created_cycle
700102300,Lambourne Technology Limited,Lambourne Technology Limited,2582339,GB,,Lambourne Technology Limited,7709,ACTIVE,,2H25
700102328,Garrowby Insurance Holdings Limited,Garrowby Insurance Holdings Limited,9850324,GB,,Garrowby Insurance Holdings Limited,1526,ACTIVE,,2H25
700102391,Inisfree Industrial Holdings Limited,Inisfree Industrial Holdings Limited,4595879,GB,,Inisfree Industrial Holdings Limited,5739,ACTIVE,,2H25
700102431,Lambourne Retail DAC,Lambourne Retail DAC,204849,IE,,Lambourne Retail DAC,3644,ACTIVE,,2H25
700102526,Marlstone Insurance DAC,Marlstone Insurance DAC,258920,IE,,Marlstone Insurance DAC,5515,ACTIVE,,2H25
700102568,Tullamore Services (UK) Limited,Tullamore Services (UK) Limited,9423966,GB,,Tullamore Services (UK) Limited,2811,ACTIVE,,2H25
700102582,Drumcondra Healthcare Holdings Limited,Drumcondra Healthcare Holdings Limited,5762073,GB,,Drumcondra Healthcare Holdings Limited,3036,ACTIVE,,2H25
700102608,Inisfree Energy Limited,Inisfree Energy Limited,2883983,GB,,Inisfree Energy Limited,5562,ACTIVE,,2H25
700102620,Glenmara Capital Ireland Limited,Glenmara Capital Ireland Limited,192700,IE,,Glenmara Capital Ireland Limited,4832,ACTIVE,,2H25
700102671,Stonebridge Healthcare DAC,Stonebridge Healthcare DAC,518623,IE,,Stonebridge Healthcare DAC,7443,ACTIVE,,2H25
700102702,Westmeath Partners Holdings Limited,Westmeath Partners Holdings Limited,2512732,GB,,Westmeath Partners Holdings Limited,360,ACTIVE,,2H25
700102793,Pentland Technology Group Limited,Pentland Technology Group Limited,7708160,GB,,Pentland Technology Group Limited,3797,ACTIVE,,2H25
700102881,Deepwell Partners Ireland Limited,Deepwell Partners Ireland Limited,742074,IE,,Deepwell Partners Ireland Limited,6730,ACTIVE,,2H25
700102962,Tullamore Healthcare DAC,Tullamore Healthcare DAC,575750,IE,,Tullamore Healthcare DAC,374,ACTIVE,,2H25
700102995,Deepwell Advisory PLC,Deepwell Advisory PLC,6914450,GB,,Deepwell Advisory PLC,7382,ACTIVE,,2H25
700103026,Kilbrannan Industrial PLC,Kilbrannan Industrial PLC,8926786,GB,,Kilbrannan Industrial PLC,856,ACTIVE,,2H25
700103041,Pentland Logistics Limited,Pentland Logistics Limited,278401,IE,,Pentland Logistics Limited,3690,ACTIVE,,2H25
700103106,Fairholt Healthcare Unlimited Company,Fairholt Healthcare Unlimited Company,530098,IE,,Fairholt Healthcare Unlimited Company,6694,ACTIVE,,2H25
700103137,Lambourne Capital (UK) Limited,Lambourne Capital (UK) Limited,5905757,GB,,Lambourne Capital (UK) Limited,4397,ACTIVE,,2H25
700103232,Eastvale Healthcare PLC,Eastvale Healthcare PLC,7798739,GB,,Eastvale Healthcare PLC,4520,ACTIVE,,2H25
700103277,Stonebridge Financial DAC,Stonebridge Financial DAC,514700,IE,,Stonebridge Financial DAC,4296,ACTIVE,,2H25
700103295,Deepwell Retail Ireland Limited,Deepwell Retail Ireland Limited,603826,IE,,Deepwell Retail Ireland Limited,1690,ACTIVE,,2H25
700103310,Tullamore Capital PLC,Tullamore Capital PLC,5869297,GB,,Tullamore Capital PLC,592,ACTIVE,,2H25
700103366,Lambourne Advisory PLC,Lambourne Advisory PLC,4338899,GB,,Lambourne Advisory PLC,1690,ACTIVE,,2H25
700103427,Westmeath Industrial Limited,Westmeath Industrial Limited,394826,IE,,Westmeath Industrial Limited,8738,ACTIVE,,2H25
700103508,Eastvale Technology (UK) Limited,Eastvale Technology (UK) Limited,8230244,GB,,Eastvale Technology (UK) Limited,6187,ACTIVE,,2H25
700103520,Elmswood Healthcare PLC,Elmswood Healthcare PLC,7025200,GB,,Elmswood Healthcare PLC,4084,ACTIVE,,2H25
700103614,Eastvale Technology Ireland Limited,Eastvale Technology Ireland Limited,632508,IE,,Eastvale Technology Ireland Limited,1049,ACTIVE,,2H25
700103711,Ballyvaughan Retail Limited,Ballyvaughan Retail Limited,720946,IE,,Ballyvaughan Retail Limited,1792,ACTIVE,,2H25
700103763,Blackwater Logistics Group Limited,Blackwater Logistics Group Limited,9197757,GB,,Blackwater Logistics Group Limited,618,ACTIVE,,2H25
700103849,Eastvale Energy Group Limited,Eastvale Energy Group Limited,1253459,GB,700102995,,1384,ACTIVE,,2H25
700103942,Harrowfield Logistics PLC,Harrowfield Logistics PLC,8050240,GB,700101589,,1470,ACTIVE,,2H25
700103957,Inisfree Capital Group Limited,Inisfree Capital Group Limited,4472427,GB,700102300,,643,ACTIVE,,2H25
700104012,Glenmara Retail PLC,Glenmara Retail PLC,4019464,GB,700102608,,553,ACTIVE,,2H25
700104089,Yarrowdale Services PLC,Yarrowdale Services PLC,2407981,GB,700101168,,1550,ACTIVE,,2H25
700104104,Glenmara Capital (UK) Limited,Glenmara Capital (UK) Limited,9145493,GB,700101414,,766,ACTIVE,,2H25
700104198,Glenmara Partners Unlimited Company,Glenmara Insurance Unlimited Company,347335,IE,700100680,,2217,ACTIVE,,2H25
700104227,Ardmore Technology PLC,Ardmore Technology PLC,2638085,GB,700103520,,2267,ACTIVE,,2H25
700104263,Garrowby Capital PLC,Garrowby Capital PLC,6202775,GB,700103763,,2039,ACTIVE,,2H25
700104317,Lambourne Technology Ireland Limited,Lambourne Technology Ireland Limited,516528,IE,700103041,,259,ACTIVE,,2H25
700104398,Glenmara Insurance Group Limited,Glenmara Insurance Group Limited,6217888,GB,700101414,,2298,LIQUIDATION,,2H25
700104425,Stonebridge Healthcare Limited,Stonebridge Healthcare Limited,1255649,GB,700102568,,576,ACTIVE,,2H25
700104498,Deepwell Technology Unlimited Company,Deepwell Technology Unlimited Company,781602,IE,700102431,,1744,ACTIVE,,2H25
700104561,Marlstone Technology (UK) Limited,Marlstone Advisory (UK) Limited,6731857,GB,700100744,,1117,ACTIVE,,2H25
700104614,Harrowfield Logistics Ireland Limited,Harrowfield Logistics Ireland Limited,539215,IE,700101532,,419,ACTIVE,,2H25
700104693,Redbourne Services PLC,Redbourne Services PLC,9841000,GB,700102582,,1527,ACTIVE,,2H25
700104711,Redbourne Technology Unlimited Company,Redbourne Financial Unlimited Company,723993,IE,700100040,,1590,ACTIVE,,2H25
700104792,Quarryhill Logistics Group PLC,Quarryhill Logistics Group PLC,397568,IE,700100680,,1637,ACTIVE,,2H25
700104815,Drumcondra Insurance Group PLC,Drumcondra Insurance Group PLC,355508,IE,700102620,,1921,ACTIVE,,2H25
700104879,Lambourne Retail (UK) Limited,Lambourne Retail (UK) Limited,4612447,GB,700103366,,2409,ACTIVE,,2H25
700104895,Ulverston Retail (UK) Limited,Ulverston Retail (UK) Limited,9015843,GB,700101414,,564,ACTIVE,,2H25
700104982,Tullamore Energy Ireland Limited,Tullamore Energy Ireland Limited,665930,IE,700101296,,2120,ACTIVE,,2H25
700105000,Glenmara Healthcare Limited,Glenmara Healthcare Limited,525128,IE,700101469,,120,ACTIVE,,2H25
700105040,Quarryhill Capital Group Limited,Quarryhill Capital Group Limited,2030228,GB,700101114,,653,ACTIVE,,2H25
700105123,Drumcondra Partners Holdings Limited,Drumcondra Partners Holdings Limited,8247412,GB,700100984,,1614,LIQUIDATION,,2H25
700105146,Yarrowdale Industrial Group PLC,Yarrowdale Industrial Group PLC,357396,IE,700103041,,1165,ACTIVE,,2H25
700105171,Marlstone Industrial Limited,Marlstone Industrial Limited,2317249,GB,700102136,,220,ACTIVE,,2H25
700105235,Drumcondra Retail PLC,Drumcondra Retail PLC,3926014,GB,700100970,,380,ACTIVE,,2H25
700105288,Ballyvaughan Advisory Limited,Ballyvaughan Advisory Limited,250301,IE,700101114,,910,ACTIVE,,2H25
700105310,Inisfree Advisory Group Limited,Inisfree Advisory Group Limited,6776723,GB,700100446,,828,ACTIVE,,2H25
700105384,Eastvale Capital PLC,Eastvale Logistics PLC,6579728,GB,700102391,,2094,ACTIVE,,2H25
700105462,Orrell Advisory Group PLC,Orrell Advisory Group PLC,743939,IE,700101263,,475,ACTIVE,,2H25
700105525,Eastvale Healthcare Limited,Eastvale Healthcare Limited,199500,IE,700102270,,1864,ACTIVE,,2H25
700105617,Lambourne Insurance Holdings Limited,Lambourne Logistics Holdings Limited,5529518,GB,700102224,,1925,ACTIVE,,2H25
700105700,Pentland Retail (UK) Limited,Pentland Retail (UK) Limited,1794489,GB,700102995,,1048,ACTIVE,,2H25
700105780,Cranbourne Capital PLC,Cranbourne Capital PLC,9405585,GB,700102793,,2233,ACTIVE,,2H25
700105838,Drumcondra Partners Unlimited Company,Drumcondra Partners Unlimited Company,335602,IE,700100830,,1252,ACTIVE,,2H25
700105926,Westmeath Services Limited,Westmeath Services Limited,5646179,GB,700101648,,383,ACTIVE,,2H25
700106019,Cranbourne Capital Unlimited Company,Cranbourne Capital Unlimited Company,251339,IE,700100320,,1116,ACTIVE,,2H25
700106034,Redbourne Technology PLC,Redbourne Technology PLC,6824643,GB,700103763,,489,ACTIVE,,2H25
700106090,Orrell Logistics DAC,Orrell Logistics DAC,158159,IE,700102671,,1485,ACTIVE,,2H25
700106176,Quarryhill Industrial Ireland Limited,Quarryhill Industrial Ireland Limited,556599,IE,700100830,,2481,LIQUIDATION,,2H25
700106260,Fernbank Energy Unlimited Company,Fernbank Energy Unlimited Company,493854,IE,700102962,,2400,ACTIVE,,2H25
700106338,Deepwell Logistics Limited,Deepwell Logistics Limited,5265011,GB,700103310,,1381,ACTIVE,,2H25
700106356,Cranbourne Technology Limited,Cranbourne Technology Limited,8692052,GB,700101414,,1817,ACTIVE,,2H25
700106382,Fairholt Technology (UK) Limited,Fairholt Technology (UK) Limited,7563190,GB,700102224,,2239,LIQUIDATION,,2H25
700106415,Ballyvaughan Financial Group Limited,Ballyvaughan Financial Group Limited,3108474,GB,700102391,,2477,ACTIVE,,2H25
700106457,Deepwell Services Limited,Deepwell Services Limited,282141,IE,700102270,,639,ACTIVE,,2H25
700106541,Yarrowdale Capital Holdings Limited,Yarrowdale Capital Holdings Limited,9149474,GB,700100254,,2245,ACTIVE,,2H25
700106590,Glenmara Advisory Group Limited,Glenmara Advisory Group Limited,5305274,IE,700102300,,852,ACTIVE,,2H25
700106616,Harrowfield Insurance Holdings Limited,Harrowfield Insurance Holdings Limited,3456022,GB,700100744,,1232,ACTIVE,,2H25
700106713,Fernbank Logistics DAC,Fernbank Logistics DAC,481967,IE,700102881,,935,ACTIVE,,2H25
700106754,Westmeath Insurance (UK) Limited,Westmeath Insurance (UK) Limited,7664203,GB,700101414,,1591,ACTIVE,,2H25
700106845,Marlstone Partners Unlimited Company,Marlstone Partners Unlimited Company,671113,IE,700103106,,1614,ACTIVE,,2H25
700106877,Marlstone Healthcare Limited,Marlstone Healthcare Limited,4363872,GB,700103137,,2249,ACTIVE,,2H25
700106973,Orrell Industrial Unlimited Company,Orrell Industrial Unlimited Company,222907,GB,700100320,,697,ACTIVE,,2H25
700107067,Vantry Financial Group PLC,Vantry Financial Group PLC,232863,IE,700100535,,1906,ACTIVE,,2H25
700107089,Pentland Services Group PLC,Pentland Services Group PLC,541739,IE,700102881,,2195,ACTIVE,,2H25
700107165,Fernbank Financial Limited,Fernbank Financial Limited,444201,IE,700101469,,1996,ACTIVE,,2H25
700107240,Hollybrook Energy (UK) Limited,Hollybrook Energy (UK) Limited,5421567,GB,700100593,,1962,ACTIVE,,2H25
700107309,Northgate Services Group PLC,Northgate Services Group PLC,135648,IE,700100134,,692,ACTIVE,,2H25
700107404,Tullamore Advisory Group PLC,Tullamore Advisory Group PLC,119014,IE,700101760,,2199,LIQUIDATION,,2H25
700107484,Drumcondra Capital DAC,Drumcondra Capital DAC,603863,IE,700100830,,1381,ACTIVE,,2H25
700107567,Vantry Industrial Holdings Limited,Vantry Services Holdings Limited,6336412,GB,700103508,,1832,ACTIVE,,2H25
700107650,Tullamore Financial Holdings Limited,Tullamore Financial Holdings Limited,5419004,GB,700102608,,2355,ACTIVE,,2H25
700107734,Lambourne Retail PLC,Lambourne Retail PLC,7978629,GB,700101589,,419,ACTIVE,,2H25
700107823,Cranbourne Healthcare Group Limited,Cranbourne Healthcare Group Limited,9948977,GB,700100197,,1298,ACTIVE,,2H25
700107849,Yarrowdale Technology Group PLC,Yarrowdale Technology Group PLC,547094,IE,700103277,,1277,ACTIVE,,2H25
700107872,Drumcondra Services Limited,Drumcondra Services Limited,7403460,GB,700102702,,199,DISSOLVED,,2H25
700107904,Deepwell Logistics Group Limited,Deepwell Logistics Group Limited,5287501,GB,700102300,,1202,ACTIVE,,2H25
700107932,Glenmara Retail DAC,Glenmara Retail DAC,378374,IE,700102270,,887,ACTIVE,,2H25
700107982,Hollybrook Technology Group Limited,Hollybrook Technology Group Limited,3867359,GB,700100510,,852,ACTIVE,,2H25
700107997,Inisfree Insurance Group Limited,Inisfree Insurance Group Limited,3797159,GB,700101000,,244,ACTIVE,,2H25
700108081,Garrowby Energy Ireland Limited,Garrowby Energy Ireland Limited,460389,IE,700102048,,566,ACTIVE,,2H25
700108158,Hollybrook Capital DAC,Hollybrook Capital DAC,565318,IE,700102671,,323,ACTIVE,,2H25
700108192,Glenmara Advisory Unlimited Company,Glenmara Advisory Unlimited Company,684015,IE,700101013,,466,ACTIVE,,2H25
700108288,Inisfree Insurance PLC,Inisfree Healthcare PLC,7267185,GB,700102608,,1762,ACTIVE,,2H25
700108330,Kilbrannan Logistics Group Limited,Kilbrannan Logistics Group Limited,1462300,GB,700101860,,2291,ACTIVE,,2H25
700108425,Yarrowdale Retail DAC,Yarrowdale Retail DAC,789202,GB,700101532,,1232,ACTIVE,,2H25
700108459,Redbourne Energy Holdings Limited,Redbourne Energy Holdings Limited,9337285,GB,700100970,,750,DISSOLVED,,2H25
700108501,Inisfree Retail DAC,Inisfree Retail DAC,215208,IE,700101532,,1736,ACTIVE,,2H25
700108525,Deepwell Advisory Holdings Limited,Deepwell Advisory Holdings Limited,2937804,GB,700102702,,395,ACTIVE,,2H25
700108613,Carrowmore Healthcare Holdings Limited,Carrowmore Healthcare Holdings Limited,6742621,GB,700102136,,2478,ACTIVE,,2H25
700108627,Ardmore Retail Limited,Ardmore Healthcare Limited,1972710,GB,700100593,,277,ACTIVE,,2H25
700108722,Ballyvaughan Healthcare PLC,Ballyvaughan Healthcare PLC,6733009,GB,700102608,,1534,ACTIVE,,2H25
700108792,Tullamore Healthcare PLC,Tullamore Healthcare PLC,6504192,GB,700100593,,151,ACTIVE,,2H25
700108839,Ballyvaughan Capital Group PLC,Ballyvaughan Capital Group PLC,244403,IE,700101978,,534,LIQUIDATION,,2H25
700108880,Kilbrannan Partners Limited,Kilbrannan Partners Limited,328777,IE,700100134,,1783,ACTIVE,,2H25
700108972,Orrell Healthcare Ireland Limited,Orrell Healthcare Ireland Limited,768519,IE,700101013,,1302,ACTIVE,,2H25
700108995,Ardmore Logistics Limited,Ardmore Logistics Limited,672392,IE,700101760,,89,ACTIVE,,2H25
700109080,Elmswood Advisory Unlimited Company,Elmswood Advisory Unlimited Company,347893,IE,700103277,,1327,ACTIVE,,2H25
700109138,Cranbourne Capital Holdings Limited,Cranbourne Capital Holdings Limited,3503226,GB,700100446,,647,LIQUIDATION,,2H25
700109222,Glenmara Healthcare (UK) Limited,Glenmara Healthcare (UK) Limited,3591694,GB,700102608,,534,ACTIVE,,2H25
700109304,Drumcondra Logistics Limited,Drumcondra Insurance Limited,1846822,GB,700103763,,2267,ACTIVE,,2H25
700109383,Redbourne Healthcare Holdings Limited,Redbourne Healthcare Holdings Limited,5616626,GB,700101414,,1979,ACTIVE,,2H25
700109410,Deepwell Retail Limited,Deepwell Retail Limited,8424406,GB,700103310,,860,ACTIVE,,2H25
700109431,Northgate Technology Group Limited,Northgate Technology Group Limited,1967518,GB,700100254,,100,DISSOLVED,,2H25
700109507,Pentland Retail Limited,Pentland Services Limited,759879,IE,700100040,,511,ACTIVE,,2H25
700109563,Carrowmore Industrial PLC,Carrowmore Industrial PLC,2275074,GB,700101000,,1649,ACTIVE,,2H25
700109621,Ballyvaughan Healthcare DAC,Ballyvaughan Healthcare DAC,662819,IE,700101978,,1873,ACTIVE,,2H25
700109712,Pentland Logistics Holdings Limited,Pentland Energy Holdings Limited,8812895,GB,700102608,,1960,ACTIVE,,2H25
700109743,Cranbourne Retail Holdings Limited,Cranbourne Retail Holdings Limited,3679095,GB,700103763,,999,ACTIVE,,2H25
700109756,Ardmore Advisory Group Limited,Ardmore Advisory Group Limited,5406982,IE,700102062,,1124,ACTIVE,,2H25
700109775,Lambourne Logistics Limited,Lambourne Technology Limited,4447676,GB,700100593,,1744,ACTIVE,,2H25
700109846,Fairholt Partners Ireland Limited,Fairholt Partners Ireland Limited,495994,IE,700100896,,2310,ACTIVE,,2H25
700109927,Elmswood Financial Group Limited,Elmswood Financial Group Limited,5022693,GB,700100744,,777,ACTIVE,,2H25
700110020,Fernbank Partners (UK) Limited,Fernbank Partners (UK) Limited,3547558,GB,700101712,,1445,ACTIVE,,2H25
700110099,Inisfree Capital PLC,Inisfree Capital PLC,7729919,GB,700103427,,1152,ACTIVE,,2H25
700110133,Redbourne Retail Ireland Limited,Redbourne Retail Ireland Limited,620303,IE,700100830,,719,ACTIVE,,2H25
700110197,Inisfree Logistics Holdings Limited,Inisfree Logistics Holdings Limited,1839086,GB,700100510,,1577,ACTIVE,,2H25
700110293,Elmswood Energy Limited,Elmswood Energy Limited,451046,IE,700100134,,855,ACTIVE,,2H25
700110320,Ardmore Capital Ireland Limited,Ardmore Capital Ireland Limited,447922,IE,700100535,,2046,ACTIVE,,2H25
700110380,Carrowmore Services Group Limited,Carrowmore Services Group Limited,4668633,GB,700102136,,250,ACTIVE,,2H25
700110451,Stonebridge Insurance Holdings Limited,Stonebridge Insurance Holdings Limited,8714915,GB,700103520,,522,ACTIVE,,2H25
700110468,Ardmore Technology Limited,Ardmore Services Limited,578545,IE,700100830,,2088,ACTIVE,,2H25
700110529,Stonebridge Logistics DAC,Stonebridge Logistics DAC,157027,IE,700100680,,2401,ACTIVE,,2H25
700110569,Glenmara Technology PLC,Glenmara Technology PLC,9864361,GB,700101825,,935,ACTIVE,,2H25
700110638,Lambourne Insurance Ireland Limited,Lambourne Insurance Ireland Limited,450363,IE,700100356,,1738,ACTIVE,,2H25
700110688,Lambourne Capital Limited,Lambourne Capital Limited,384873,GB,700102270,,2192,ACTIVE,,2H25
700110768,Yarrowdale Insurance Group Limited,Yarrowdale Insurance Group Limited,1524158,GB,700100160,,2424,ACTIVE,,2H25
700110834,Harrowfield Healthcare Limited,Harrowfield Healthcare Limited,3952213,GB,700103041,,683,ACTIVE,,2H25
700110867,Stonebridge Advisory PLC,Stonebridge Services PLC,2741141,GB,700101414,,1361,ACTIVE,,2H25
700110933,Fernbank Financial Group PLC,Fernbank Financial Group PLC,230717,IE,700103137,,2222,ACTIVE,,2H25
700111027,Westmeath Retail Group Limited,Westmeath Retail Group Limited,4743473,GB,700103232,,414,LIQUIDATION,,2H25
700111092,Yarrowdale Healthcare Group PLC,Yarrowdale Healthcare Group PLC,149317,IE,700102881,,2339,ACTIVE,,2H25
700111151,Vantry Partners DAC,Vantry Partners DAC,172184,IE,700102526,,1183,ACTIVE,,2H25
700111171,Blackwater Insurance Unlimited Company,Blackwater Insurance Unlimited Company,749288,IE,700102526,,881,ACTIVE,,2H25
700111244,Fernbank Industrial Group PLC,Fernbank Industrial Group PLC,608481,IE,700101469,,2178,ACTIVE,,2H25
700111307,Glenmara Financial PLC,Glenmara Financial PLC,9215292,GB,700101263,,569,ACTIVE,,2H25
700111349,Ballyvaughan Industrial Limited,Ballyvaughan Industrial Limited,3269946,GB,700101648,,1407,ACTIVE,,2H25
700111393,Kilbrannan Advisory DAC,Kilbrannan Advisory DAC,709598,IE,700103614,,2204,ACTIVE,,2H25
700111483,Blackwater Healthcare DAC,Blackwater Healthcare DAC,626990,IE,700103427,,615,ACTIVE,,2H25
700111519,Marlstone Healthcare Holdings Limited,Marlstone Healthcare Holdings Limited,4267506,GB,700102224,,399,ACTIVE,,2H25
700111566,Orrell Logistics (UK) Limited,Orrell Technology (UK) Limited,4872792,GB,700100160,,618,ACTIVE,,2H25
700111595,Stonebridge Services Limited,Stonebridge Services Limited,627657,IE,700103711,,50,ACTIVE,,2H25
700111661,Tullamore Technology Limited,Tullamore Technology Limited,9433038,GB,700100197,,2027,ACTIVE,,2H25
700111731,Ulverston Capital Limited,Ulverston Capital Limited,284513,IE,700101013,,935,ACTIVE,,2H25
700111796,Glenmara Insurance PLC,Glenmara Insurance PLC,5220069,GB,700102062,,1985,ACTIVE,,2H25
700111856,Ballyvaughan Retail (UK) Limited,Ballyvaughan Retail (UK) Limited,1757056,GB,700102582,,2295,ACTIVE,,2H25
700111895,Fairholt Retail Limited,Fairholt Retail Limited,3179612,GB,700101414,,744,ACTIVE,,2H25
700111976,Ballyvaughan Partners DAC,Ballyvaughan Partners DAC,397605,IE,700103106,,1863,ACTIVE,,2H25
700112026,Cranbourne Healthcare PLC,Cranbourne Financial PLC,9450293,GB,700101126,,859,ACTIVE,,2H25
700112099,Tullamore Logistics Group PLC,Tullamore Logistics Group PLC,576120,IE,700101532,,1075,ACTIVE,,2H25
700112134,Fernbank Insurance (UK) Limited,Fernbank Insurance (UK) Limited,6868225,GB,700103137,,2047,ACTIVE,,2H25
700112185,Kilbrannan Industrial Limited,Kilbrannan Industrial Limited,384631,IE,700100356,,698,ACTIVE,,2H25
