action_id,case_ref,action_type,org_id,territory_id,tam_delta_k
56,CAS-10502446-N8H5,CREATE_ORGANIZATION,700116550,,0.0
57,CAS-10631077-Z9V3,RENAME_ORGANIZATION,700107650,,0.0
58,CAS-10791741-C1C9,MERGE_ORGANIZATION,700121675,,0.0
59,CAS-10791741-C1C9,CREATE_ORGANIZATION,700110569,,0.0
60,CAS-11068559-W7K4,CREATE_ORGANIZATION,700106590,,0.0
61,CAS-10608193-V0H8,MERGE_ORGANIZATION,700101296,,0.0
62,CAS-10802730-W5L0,DEACTIVATE_ORGANIZATION,700102582,,0.0
63,CAS-10802730-W5L0,CREATE_ORGANIZATION,700103942,,0.0
64,CAS-11176893-X0W2,MERGE_ORGANIZATION,700114328,,0.0
65,CAS-11176893-X0W2,CREATE_ORGANIZATION,700119410,,0.0
66,CAS-10524291-W1S4,MERGE_ORGANIZATION,700118418,,0.0
67,CAS-10698460-C7C2,MOVE_ORGANIZATION,700101532,,0.0
68,CAS-10937230-Z3Q3,MOVE_ORGANIZATION,700121675,,0.0
69,CAS-10606412-J6A8,MERGE_ORGANIZATION,700100254,,0.0
70,CAS-10606412-J6A8,MOVE_ORGANIZATION,700120806,,0.0
71,CAS-10936504-J9R0,MOVE_ORGANIZATION,700111856,,0.0
72,CAS-11069765-Q5U8,RENAME_ORGANIZATION,700107404,,0.0
73,CAS-11069765-Q5U8,CREATE_ORGANIZATION,700104317,,0.0
74,CAS-10766546-A2Y7,MERGE_ORGANIZATION,700120778,,0.0
75,CAS-10766546-A2Y7,RENAME_ORGANIZATION,700103026,,0.0
76,CAS-10505305-N0N5,DEACTIVATE_ORGANIZATION,700117776,,0.0
77,CAS-10505305-N0N5,MERGE_ORGANIZATION,700109756,,0.0
78,CAS-10689129-Q6W8,MOVE_ORGANIZATION,700107089,,0.0
79,CAS-10689129-Q6W8,MERGE_ORGANIZATION,700123005,,0.0
80,CAS-10674240-K1W8,MOVE_ORGANIZATION,700115867,,0.0
81,CAS-10917014-D1K3,DEACTIVATE_ORGANIZATION,700111171,,0.0
82,CAS-10784710-T1W3,MERGE_ORGANIZATION,700113222,,0.0
83,CAS-10784710-T1W3,DEACTIVATE_ORGANIZATION,700101000,,0.0
84,CAS-10577708-D1T6,DEACTIVATE_ORGANIZATION,700104263,,0.0
85,CAS-10706311-L9H4,RENAME_ORGANIZATION,700110688,,0.0
86,CAS-10706311-L9H4,CREATE_ORGANIZATION,700105462,,0.0
87,CAS-10673891-E3T4,RENAME_ORGANIZATION,700120710,,0.0
88,CAS-10673891-E3T4,RENAME_ORGANIZATION,700109080,,0.0
89,CAS-10925784-A6W7,DEACTIVATE_ORGANIZATION,700121502,,0.0
90,CAS-11196561-G4G7,MOVE_ORGANIZATION,700107932,,0.0
91,CAS-11171548-C2J3,MERGE_ORGANIZATION,700121844,,0.0
92,CAS-11171548-C2J3,MOVE_ORGANIZATION,700116788,,0.0
93,CAS-10739026-K6G2,MOVE_ORGANIZATION,700101760,,0.0
94,CAS-10600633-H0H7,CREATE_ORGANIZATION,700104425,,0.0
95,CAS-10600633-H0H7,MERGE_ORGANIZATION,700102526,,0.0
96,CAS-10593962-T8Q2,MERGE_ORGANIZATION,700121174,,0.0
97,CAS-10593962-T8Q2,CREATE_ORGANIZATION,700112626,,0.0
98,CAS-10889345-P2C3,MERGE_ORGANIZATION,700123031,,0.0
99,CAS-11061397-D9Q3,MERGE_ORGANIZATION,700120074,,0.0
100,CAS-10599378-Z7D0,RENAME_ORGANIZATION,700104693,,0.0
101,CAS-10599378-Z7D0,MERGE_ORGANIZATION,700118937,,0.0
102,CAS-11162246-X3U2,RENAME_ORGANIZATION,700107650,,0.0
103,CAS-11162246-X3U2,RENAME_ORGANIZATION,700111895,,0.0
104,CAS-10710589-R4R8,RENAME_ORGANIZATION,700107165,,0.0
105,CAS-10710589-R4R8,MERGE_ORGANIZATION,700117028,,0.0
106,CAS-10685805-E3V4,MERGE_ORGANIZATION,700105780,,0.0
107,CAS-10685805-E3V4,DEACTIVATE_ORGANIZATION,700114173,,0.0
108,CAS-11187355-U9W7,MERGE_TERRITORY,,233182,0.0
109,CAS-10725818-A0T2,RENAME_TERRITORY,,231776,0.0
110,CAS-10839452-W6U9,MERGE_TERRITORY,,233034,0.0
111,CAS-11141728-E3B4,MERGE_TERRITORY,,230111,0.0
112,CAS-11180638-W9N9,RECLASSIFY_TERRITORY,,230777,0.0
113,CAS-10689794-R9R4,MERGE_TERRITORY,,231036,0.0
114,CAS-10689794-R9R4,RENAME_TERRITORY,,232146,0.0
115,CAS-11009286-Y0P8,MERGE_TERRITORY,,232738,0.0
116,CAS-10972700-U6Y7,RENAME_TERRITORY,,230999,0.0
117,CAS-11156183-M5G7,RENAME_TERRITORY,,231258,0.0
118,CAS-11156183-M5G7,RENAME_TERRITORY,,233219,0.0
119,CAS-11163546-G6S4,RENAME_TERRITORY,,230740,0.0
120,CAS-11163546-G6S4,MERGE_TERRITORY,,231036,0.0
121,CAS-10728713-Y7J6,RENAME_TERRITORY,,230333,0.0
122,CAS-10602813-N3G2,RENAME_TERRITORY,,232220,0.0
123,CAS-10602813-N3G2,MERGE_TERRITORY,,232220,0.0
124,CAS-11036309-T3R1,MERGE_TERRITORY,,231591,0.0
125,CAS-11036309-T3R1,CREATE_TERRITORY,,230518,0.0
126,CAS-11166264-V4B0,CREATE_TERRITORY,,232405,0.0
127,CAS-11115745-T4R0,RECLASSIFY_TERRITORY,,233182,0.0
128,CAS-10787394-B8T7,MERGE_TERRITORY,,230555,0.0
129,CAS-10776441-Q8Z4,MERGE_TERRITORY,,232368,0.0
130,CAS-10776441-Q8Z4,MERGE_TERRITORY,,231295,0.0
131,CAS-11091140-W2U9,MERGE_TERRITORY,,232035,0.0
132,CAS-11091140-W2U9,RENAME_TERRITORY,,230962,0.0
133,CAS-10706387-G7B2,RECLASSIFY_TERRITORY,,231813,0.0
134,CAS-10612883-R4H9,RENAME_TERRITORY,,232257,0.0
135,CAS-11100722-C1E1,MERGE_TERRITORY,,232294,0.0
136,CAS-11169382-P7A6,RENAME_TERRITORY,,232664,0.0
137,CAS-11069562-E0L1,MERGE_TERRITORY,,233145,0.0
138,CAS-10898208-F1Q3,RENAME_TERRITORY,,231591,0.0
