territory_id,territory_name,country_code,segment,status,opened_cycle,retired_cycle
231480,EASTVALE ENERGY IRELAND - IE,IE,NAMED,ACTIVE,2H25,
231517,INISFREE SERVICES - IE,IE,NAMED,RETIRED,2H25,1H27
231554,REDBOURNE HEALTHCARE - GB,GB,NAMED,ACTIVE,2H25,
231591,GLENMARA INDUSTRIAL (UK) - GB,GB,NAMED,ACTIVE,2H25,
231628,GLENMARA LOGISTICS - GB,GB,NAMED,ACTIVE,2H25,
231665,YARROWDALE PARTNERS - IE,IE,NAMED,ACTIVE,2H25,
231702,LAMBOURNE RETAIL - IE,IE,NAMED,ACTIVE,2H25,
231739,QUARRYHILL ENERGY - GB,GB,NAMED,ACTIVE,2H25,
231776,REDBOURNE INSURANCE (UK) - GB,GB,NAMED,ACTIVE,2H25,
231813,KILBRANNAN RETAIL HOLDINGS - GB,GB,NAMED,ACTIVE,2H25,
231850,HARROWFIELD CAPITAL IRELAND - IE,IE,NAMED,RETIRED,2H25,1H27
231887,STONEBRIDGE INDUSTRIAL IRELAND - IE,IE,NAMED,ACTIVE,2H25,
231924,TULLAMORE RETAIL GROUP - GB,GB,NAMED,ACTIVE,2H25,
231961,TULLAMORE ADVISORY - GB,GB,NAMED,ACTIVE,2H25,
231998,HOLLYBROOK LOGISTICS (UK) - GB,GB,NAMED,ACTIVE,2H25,
232035,GLENMARA ADVISORY GROUP - IE,IE,NAMED,ACTIVE,2H25,
232072,EASTVALE HEALTHCARE IRELAND - IE,IE,NAMED,ACTIVE,2H25,
232109,QUARRYHILL INSURANCE - GB,GB,NAMED,ACTIVE,2H25,
232146,ULVERSTON INDUSTRIAL - GB,GB,NAMED,ACTIVE,2H25,
232183,HARROWFIELD TECHNOLOGY GROUP - GB,GB,NAMED,ACTIVE,2H25,
232220,CARROWMORE RETAIL GROUP - IE,IE,NAMED,ACTIVE,2H25,
232257,KILBRANNAN RETAIL UNLIMITED - IE,IE,NAMED,ACTIVE,2H25,
232294,GLENMARA INDUSTRIAL HOLDINGS - GB,GB,NAMED,ACTIVE,2H25,
232331,REDBOURNE TECHNOLOGY (UK) - GB,GB,NAMED,RETIRED,2H25,1H27
232368,YARROWDALE INDUSTRIAL - GB,GB,NAMED,ACTIVE,2H25,
232405,LAMBOURNE INDUSTRIAL - IE,IE,NAMED,ACTIVE,2H25,
232442,ULVERSTON PARTNERS - IE,IE,NAMED,ACTIVE,2H25,
232479,KILBRANNAN PARTNERS (UK) - GB,GB,NAMED,ACTIVE,2H25,
232516,GLENMARA SERVICES GROUP - GB,GB,NAMED,RETIRED,2H25,1H27
232553,WESTMEATH SERVICES GROUP - GB,GB,NAMED,ACTIVE,2H25,
232590,HARROWFIELD ENERGY - IE,IE,NAMED,ACTIVE,2H25,
232627,GARROWBY FINANCIAL GROUP - IE,IE,NAMED,ACTIVE,2H25,
232664,CRANBOURNE SERVICES GROUP - GB,GB,NAMED,ACTIVE,2H25,
232701,QUARRYHILL LOGISTICS - GB,GB,NAMED,RETIRED,2H25,1H27
232738,REDBOURNE INSURANCE - GB,GB,NAMED,ACTIVE,2H25,
232775,ARDMORE ADVISORY UNLIMITED - IE,IE,NAMED,ACTIVE,2H25,
232812,ELMSWOOD ENERGY - IE,IE,NAMED,ACTIVE,2H25,
232849,HOLLYBROOK HEALTHCARE - GB,GB,NAMED,ACTIVE,2H25,
232886,ARDMORE ENERGY GROUP - GB,GB,NAMED,RETIRED,2H25,1H27
232923,NORTHGATE SERVICES (UK) - GB,GB,NAMED,ACTIVE,2H25,
232960,BALLYVAUGHAN SERVICES - IE,IE,NAMED,ACTIVE,2H25,
232997,INISFREE HEALTHCARE UNLIMITED - IE,IE,NAMED,RETIRED,2H25,1H27
233034,ARDMORE RETAIL (UK) - GB,GB,NAMED,ACTIVE,2H25,
233071,ULVERSTON INSURANCE - GB,GB,NAMED,ACTIVE,2H25,
233108,NORTHGATE INSURANCE (UK) - GB,GB,NAMED,RETIRED,2H25,1H27
233145,ORRELL SERVICES IRELAND - IE,IE,NAMED,ACTIVE,2H25,
233182,HOLLYBROOK CAPITAL - IE,IE,NAMED,ACTIVE,2H25,
233219,LAMBOURNE ENERGY GROUP - GB,GB,NAMED,ACTIVE,2H25,
900001,VOLUME SEGMENT GENERIC - UKI,GB,VOLUME,ACTIVE,2H25,
