assignment_id,org_id,territory_id,valid_from,valid_to
309,700117028,230074,2025-11-01,
310,700117114,230740,2025-11-01,
311,700117199,231813,2025-11-01,
312,700117281,231480,2025-11-01,
313,700117305,231665,2025-11-01,
314,700117325,231591,2025-11-01,
315,700117336,232627,2025-11-01,
316,700117432,232479,2025-11-01,
317,700117498,233034,2025-11-01,
318,700117582,231480,2025-11-01,
319,700117636,233034,2025-11-01,
320,700117651,233182,2025-11-01,
321,700117684,232960,2025-11-01,
322,700117776,230111,2025-11-01,
323,700117848,231998,2025-11-01,
324,700117942,232072,2025-11-01,
325,700118005,230925,2025-11-01,
326,700118092,230851,2025-11-01,
327,700118153,231147,2025-11-01,
328,700118200,231073,2025-11-01,
329,700118285,232257,2025-11-01,
330,700118344,230814,2025-11-01,
331,700118418,232035,2025-11-01,
332,700118490,232590,2025-11-01,
333,700118552,231554,2025-11-01,
334,700118640,232257,2025-11-01,
335,700118720,231554,2025-11-01,
336,700118744,230925,2025-11-01,
337,700118787,232627,2025-11-01,2026-02-01
338,700118862,230074,2025-11-01,
339,700118913,230111,2025-11-01,
340,700118937,232738,2025-11-01,
341,700119029,231073,2025-11-01,
342,700119113,231591,2025-11-01,
343,700119149,233034,2025-11-01,
344,700119190,230000,2025-11-01,
345,700119273,230629,2025-11-01,
346,700119308,230740,2025-11-01,
347,700119345,232294,2025-11-01,
348,700119410,232072,2025-11-01,
349,700119491,230037,2025-11-01,
350,700119533,230851,2025-11-01,2026-02-01
351,700119602,231036,2025-11-01,
352,700119697,233034,2025-11-01,
353,700119793,231998,2025-11-01,
354,700119869,230555,2025-11-01,
355,700119885,232146,2025-11-01,
356,700119951,232072,2025-11-01,
357,700119998,231443,2025-11-01,
358,700120016,230888,2025-11-01,
359,700120074,231702,2025-11-01,2026-02-01
360,700120132,231480,2025-11-01,
361,700120200,231147,2025-11-01,
362,700120221,232812,2025-11-01,2026-02-01
363,700120235,231961,2025-11-01,
364,700120296,231739,2025-11-01,
365,700120322,230259,2025-11-01,
366,700120381,232368,2025-11-01,
367,700120445,231332,2025-11-01,
368,700120540,232590,2025-11-01,
369,700120633,232405,2025-11-01,2026-02-01
370,700120710,233145,2025-11-01,
371,700120761,233219,2025-11-01,
372,700120778,230037,2025-11-01,
373,700120806,232479,2025-11-01,
374,700120839,231628,2025-11-01,
375,700120868,232294,2025-11-01,
376,700120936,233145,2025-11-01,
377,700120982,232627,2025-11-01,
378,700121079,232183,2025-11-01,2026-02-01
379,700121174,230740,2025-11-01,
380,700121223,233219,2025-11-01,
381,700121243,231147,2025-11-01,
382,700121264,230555,2025-11-01,
383,700121354,231554,2025-11-01,
384,700121438,230148,2025-11-01,
385,700121502,231406,2025-11-01,
386,700121539,232812,2025-11-01,
387,700121550,230000,2025-11-01,
388,700121611,230555,2025-11-01,
389,700121652,230629,2025-11-01,
390,700121675,230555,2025-11-01,
391,700121723,231480,2025-11-01,
392,700121796,231776,2025-11-01,
393,700121844,232627,2025-11-01,
394,700121938,231554,2025-11-01,
395,700121972,233034,2025-11-01,
396,700122052,231147,2025-11-01,
397,700122123,233182,2025-11-01,
398,700122134,230518,2025-11-01,
399,700122215,233145,2025-11-01,
400,700122264,230629,2025-11-01,
401,700122352,233182,2025-11-01,
402,700122434,230333,2025-11-01,
403,700122518,230629,2025-11-01,
404,700122595,232775,2025-11-01,
405,700122633,232035,2025-11-01,
406,700122685,233145,2025-11-01,
407,700122752,231998,2025-11-01,
408,700122802,232146,2025-11-01,
409,700122884,233145,2025-11-01,
410,700122920,232590,2025-11-01,
411,700123005,233219,2025-11-01,
412,700123018,232590,2025-11-01,
413,700123031,232664,2025-11-01,
414,700123078,230148,2025-11-01,
415,700123172,231369,2025-11-01,
